2356,993,1
2372,1842,1
2387,1858,1
2437,405,1
2458,946,1
2478,711,1
2510,1949,1
2573,1686,1
2589,2590,1
103,1906,1
140,445,1
161,2074,1
260,1721,1
388,91,1
409,122,1
459,2322,1
510,1138,1
820,74,1
953,312,1
974,357,1
1003,2576,1
1050,87,1
1105,534,1
1146,1435,1
1166,95,1
1192,1462,1
1218,139,1
1245,2413,1
1523,455,1
1719,2498,1
1745,1630,1
2003,582,1
2056,359,1
2090,613,1
2165,1866,1
2381,1260,1
2402,1240,1
2423,1272,1
2444,1173,1
2546,1694,1
2558,716,1
14,1559,1
47,1057,1
121,1214,1
273,688,1
323,793,1
612,502,1
669,2569,1
801,2241,1
898,1640,1
1074,60,1
1283,244,1
1336,1267,1
1452,777,1
1572,1018,1
1614,920,1
1786,303,1
1972,505,1
1997,2512,1
2220,560,1
2302,967,1
19,183,1
554,619,1
580,1137,1
770,352,1
830,1628,1
859,45,1
987,2320,1
1370,699,1
1407,2013,1
1428,2066,1
1824,1484,1
1902,107,1
1960,543,1
2027,2093,1
2124,2079,1
2145,2033,1
2257,794,1
2278,746,1
2359,14,1
67,821,1
181,1679,1
190,18,1
213,461,1
351,753,1
445,2559,1
454,1508,1
485,2066,1
516,606,1
544,1090,1
584,1084,1
638,2084,1
692,1382,1
730,1421,1
919,1623,1
1194,99,1
1273,1344,1
1357,1263,1
1384,2044,1
1505,1177,1
1551,1029,1
1635,892,1
1696,2542,1
1714,219,1
1850,1468,1
1881,1515,1
1916,1578,1
2074,1536,1
2199,823,1
2314,979,1
2373,418,1
2386,1255,1
2436,1805,1
2457,1175,1
2480,1185,1
2509,1698,1
2574,1987,1
2590,161,1
104,811,1
139,1922,1
159,892,1
258,1237,1
321,967,1
387,2512,1
408,2470,1
744,2281,1
786,2255,1
819,2583,1
955,2346,1
976,2304,1
1147,505,1
1165,1495,1
1251,1361,1
1309,619,1
1330,598,1
1340,1252,1
1450,1220,1
1529,1069,1
1587,852,1
1608,816,1
1629,563,1
1644,1724,1
1718,231,1
1744,2314,1
1760,1592,1
1787,302,1
1811,62,1
1867,114,1
2001,2545,1
2057,2128,1
2089,2023,1
2164,1124,1
2300,1732,1
2328,1,1
2379,396,1
2400,445,1
2421,424,1
2442,697,1
2545,428,1
2560,1214,1
15,191,1
46,850,1
123,1872,1
274,1222,1
611,1337,1
671,1406,1
803,1502,1
881,1601,1
897,2235,1
1001,350,1
1023,1576,1
1049,2094,1
1080,1380,1
1107,1407,1
1188,1474,1
1219,118,1
1970,2587,1
1996,2230,1
2139,1073,1
2222,1152,1
81,835,1
95,1166,1
153,1184,1
390,95,1
431,2568,1
478,2194,1
491,958,1
532,646,1
703,280,1
839,83,1
880,1582,1
955,318,1
1031,379,1
1190,1468,1
1211,1440,1
1353,647,1
1493,799,1
1641,1735,1
1753,251,1
1773,2367,1
2031,2147,1
2054,328,1
2062,2126,1
2113,642,1
2163,1870,1
2400,1226,1
2425,1267,1
2451,1650,1
2539,1170,1
2560,728,1
16,1574,1
40,171,1
185,1692,1
194,20,1
209,459,1
235,1747,1
375,1033,1
619,2138,1
662,247,1
743,2262,1
764,1441,1
855,1603,1
900,1646,1
941,2328,1
991,2580,1
1117,503,1
1175,101,1
1338,1274,1
1489,783,1
1616,914,1
1661,2471,1
1788,290,1
1868,85,1
1889,2448,1
1915,2218,1
1945,529,1
2151,1688,1
2178,1123,1
2218,844,1
2327,473,1
2353,1778,1
2461,1192,1
2476,1194,1
132,401,1
462,214,1
563,1629,1
584,2001,1
812,97,1
1042,89,1
1061,2140,1
1103,2198,1
1182,2446,1
1281,246,1
1370,2047,1
1399,668,1
1425,1125,1
1469,749,1
1559,1899,1
1849,71,1
1873,2174,1
1939,2516,1
2082,640,1
2233,1994,1
2249,912,1
2275,1942,1
2512,1997,1
66,1034,1
129,1210,1
246,667,1
270,1259,1
296,719,1
317,943,1
445,2400,1
639,531,1
646,2080,1
688,2535,1
809,2387,1
1153,2523,1
1247,2373,1
1302,1684,1
1444,774,1
1535,1925,1
1591,869,1
1651,576,1
1687,1350,1
1717,2507,1
1767,282,1
1974,2458,1
2016,1404,1
2125,2037,1
2193,817,1
2294,935,1
2370,1793,1
2394,439,1
2508,1999,1
80,1859,1
97,1901,1
152,429,1
389,2500,1
432,153,1
531,1947,1
704,2505,1
767,2286,1
838,1620,1
957,2332,1
995,2358,1
1073,373,1
1114,2168,1
1232,1296,1
1253,1347,1
1311,636,1
1337,1268,1
1491,1827,1
1510,1079,1
1531,1053,1
1589,854,1
1615,923,1
1642,1784,1
1751,1617,1
1809,45,1
2030,309,1
2055,2120,1
2061,493,1
2112,2072,1
2162,1118,1
2351,27,1
2398,399,1
2423,444,1
2450,418,1
2537,657,1
2562,1215,1
17,189,1
39,1534,1
183,918,1
193,1663,1
210,891,1
236,451,1
374,565,1
477,1633,1
493,742,1
519,1940,1
618,581,1
663,2533,1
732,2251,1
879,1581,1
899,2237,1
942,2470,1
1217,114,1
1296,1232,1
1490,1159,1
1585,850,1
1662,1343,1
1873,1526,1
1888,2179,1
1914,143,1
1946,2277,1
2176,573,1
2220,1145,1
2322,981,1
2459,729,1
2477,939,1
131,1871,1
504,587,1
561,2223,1
582,1080,1
736,2279,1
789,311,1
811,2520,1
852,1587,1
1015,1562,1
1372,688,1
1400,1108,1
1426,2065,1
1447,1836,1
1847,1463,1
1941,528,1
2081,2016,1
2126,2062,1
2234,758,1
2250,1967,1
2276,731,1
2297,749,1
2326,933,1
2511,1699,1
65,827,1
245,1757,1
272,1743,1
297,1236,1
319,2048,1
335,756,1
447,1515,1
640,2082,1
648,1354,1
690,1367,1
1046,1532,1
1057,1511,1
1088,1370,1
1099,1373,1
1130,1420,1
1151,102,1
1196,93,1
1238,283,1
1280,254,1
1527,1074,1
1558,1932,1
1689,177,1
1716,236,1
1973,2257,1
2015,2087,1
2192,1893,1
2371,19,1
2393,1836,1
2507,1717,1
23,195,1
304,1785,1
476,1624,1
494,610,1
529,1094,1
550,616,1
576,2209,1
836,2181,1
1029,2129,1
1274,1338,1
1295,1335,1
1374,694,1
1411,2035,1
1432,2014,1
1495,1829,1
1563,24,1
1584,859,1
1820,1444,1
2034,352,1
2059,1385,1
2111,1016,1
2261,755,1
2282,739,1
74,1842,1
197,1657,1
206,928,1
237,1266,1
347,773,1
397,2405,1
438,141,1
591,734,1
632,1319,1
696,1377,1
741,1471,1
766,2237,1
912,224,1
963,2311,1
994,2367,1
1115,2169,1
1254,1348,1
1310,620,1
1378,697,1
1455,1217,1
1486,1182,1
1532,1046,1
1588,857,1
1643,1767,1
1689,1320,1
1710,224,1
1808,54,1
1835,2400,1
1865,2168,1
1892,2191,1
1912,1568,1
1947,2514,1
2123,2076,1
2206,1921,1
2330,1751,1
2350,474,1
2367,994,1
2392,437,1
2463,735,1
2473,1656,1
2505,1716,1
2568,431,1
108,808,1
135,1884,1
166,44,1
341,2018,1
362,1827,1
383,1831,1
404,2456,1
465,1539,1
815,1599,1
882,1602,1
906,1624,1
927,1619,1
948,2454,1
969,2512,1
1045,1549,1
1058,1518,1
1100,1408,1
1197,142,1
1224,2392,1
1239,290,1
